date,original_18_no_rules,original_18_active,original_18_total_wealth,optimal_standard_no_rules,optimal_standard_active,optimal_standard_total_wealth,optimal_ethical_no_rules,optimal_ethical_active,optimal_ethical_total_wealth,spy_benchmark
2017-06-23,419.05823269881796,296.86901225838113,374.6974879216331,464.629727156653,241.35797178515105,384.21462638223636,591.137610668774,282.93416437173863,460.41978734907104,249.83979603581784
2017-06-26,416.9344556963795,295.3644872740835,373.1929629373355,462.9480885998653,241.5198545039829,384.3765091010682,589.3241545084936,282.0661960779378,459.5518190552702,250.00427571390892
2017-06-27,413.8226603377355,293.1600308468194,370.9885065100714,455.8668258767238,238.42708266233322,381.28373725941856,581.2298433772957,278.1920437405837,455.6776667179161,247.99017992997935
2017-06-28,418.8972160375404,296.75494492009557,374.58342058334756,458.0891644795338,240.49292369729832,383.3495782943836,585.2782560984961,280.12972161732864,457.61534459466105,250.20974451436732
2017-06-29,415.79000900223974,294.5537389504351,372.3822146136871,450.8765999081442,237.3156494932413,380.17230409032663,577.9385366648524,276.61673691258017,454.1023598899126,248.01069253214996
2017-06-30,414.1458965329492,293.3890176618051,371.2174933250571,449.68578362785485,237.4819265806606,380.33858117774594,575.6414430709996,275.51728689496895,453.00290987230136,248.47317323280413
2017-07-03,411.0370597628744,291.1866571562952,369.0151328195472,445.2180268965158,235.44686784373437,378.3035224408197,573.1450969172462,274.32246930893217,451.8080922862646,248.89446636023447
2017-07-05,415.81872965585814,294.57408522072836,372.40256088398036,451.4480711449532,236.8132473488294,379.6699019459147,579.5709357092034,277.39804646081234,454.88366943814475,249.46988363924234
2017-07-06,414.54484682538117,293.67164181762166,371.50011748087366,449.2332977935606,235.92471009066136,378.78136468774665,576.4582664466392,275.908240261926,453.3938632392584,247.18861887945985
2017-07-07,416.6131833964408,295.13689172075306,372.96536738400505,452.0045892203018,236.9035678713675,379.7602224684528,580.7329997844416,277.95424119811213,455.43986417544454,248.79166881655092
2017-07-10,420.22936467599897,297.69866495617174,375.52714061942373,456.38156541789124,238.2802645865873,381.1369191836726,584.2716376056433,279.6479272652585,457.1335502425909,249.05889191536468
2017-07-11,420.6510822873129,297.9974179240265,375.8258935872785,457.59754008714884,238.90724327934475,381.76389787643006,584.6526998898737,279.83031379762673,457.31593677495914,248.8738455121421
2017-07-12,424.80477405116596,300.9399740533248,378.7684497165768,463.5295979500493,240.9410237053244,383.79767830240974,592.8640593740259,283.76048858616065,461.24611156349306,250.7441185480469
2017-07-13,424.1419244618683,300.47039849676463,378.2988741600166,460.70967553257856,241.37848636887352,384.23514096595886,589.8115732567107,282.2994876393899,459.7851106167223,251.16546579843816
2017-07-14,426.44959131895445,302.10519463493506,379.93367029818705,466.0289136792495,243.4094051202939,386.2660597173792,596.439945422812,285.47200264454926,462.9576256218817,252.33688512257228
