date,spy,no_rules,active,total_wealth
2023-10-05,485.2359548473909,876.6376185686481,412.936584336904,608.1422664304912
2023-10-06,490.99708989938637,887.8118525184875,418.2001617856589,613.405843879246
2023-10-09,494.14055061618524,892.7501642046226,420.526333417893,615.7320155114802
2023-10-10,496.712509102803,898.0883027315654,423.040841857118,618.2465239507052
2023-10-11,498.7472071432186,900.685196667159,424.26409818212045,619.4697802757076
2023-10-12,495.706616106213,899.8054421938772,423.8496934160493,619.0553755096365
2023-10-13,493.2375994633168,894.3607831931268,421.2850089409295,616.4906910345167
2023-10-16,498.42708795727464,901.0980625351375,424.4585769698215,620.0159131993881
2023-10-17,498.4042480739673,882.8998908395909,415.88640221715076,611.092084310738
2023-10-18,491.76296567044665,860.6158534917986,405.3895970690236,600.5952791626107
2023-10-19,487.44215046341424,856.4980344871965,403.4499151769159,598.6555972705031
2023-10-20,481.45240008656066,843.4665777440297,397.3115004859702,592.5171825795574
2023-10-23,480.6179325016501,859.0636685242933,404.65844665388704,599.8641287474743
2023-10-24,484.24157199736493,864.5650168175446,407.24983438964495,602.4555164832321
2023-10-25,477.2916444725002,838.0286579795509,394.74999050068294,589.9556725942701
2023-10-26,471.5762252690835,817.3981009783466,385.032050543971,580.2377326375582
2023-10-27,469.43869363083877,817.2903840231286,384.9813109103747,580.1869930039619
2023-10-30,475.0512070724979,829.52573905975,390.74472513074693,585.9504072243342
2023-10-31,478.034644278289,827.1059446212723,389.6048908034751,584.8105728970622
2023-11-01,483.1327732390175,848.144300365394,399.5149226992395,594.7206047928266
2023-11-02,492.3916938957706,863.4248653045194,406.7127706572171,601.9184527508044
2023-11-03,496.88400667841074,881.378493083241,415.1697539925962,610.3754360861834
2023-11-06,498.02701113877293,889.7062320889097,419.0925015765579,614.2981836701451
2023-11-07,499.44449110042865,892.6689598036912,420.48808241514854,615.6937645087357
2023-11-08,499.81025397102314,899.3739261130618,423.6464295214548,618.8521116150421
2023-11-09,495.9123554657997,902.7648707455392,425.2437201972725,620.4494022908598
2023-11-10,503.65092648110374,923.6653440383513,435.08880312521063,630.2944852187978
2023-11-13,503.1708920300444,926.1455025132838,436.2570716863124,631.4627537798996
2023-11-14,512.9327591850924,943.6480688674762,444.50158437244494,639.7072664660321
2023-11-15,514.0186819781684,935.9458762612645,440.8734978754188,636.079179969006
2023-11-16,514.647338039564,943.9698327520125,444.65314994142005,639.8588320350073
2023-11-17,515.2875042475238,945.7784250956755,445.50508000811,640.7107621016971
2023-11-20,519.2539945665974,959.3830267858764,451.91347229498024,647.1191543885675
2023-11-21,518.1222837610144,952.8915749840345,448.8557003289346,644.0613824225218
2023-11-22,520.1226317715585,944.7577583845593,445.0242991055942,640.2299811991813
2023-11-24,520.4427509575025,934.6284474555698,440.252928395388,635.4586104889752
2023-11-27,519.5055219386911,936.1429067234395,440.96630827316756,636.1719903667547
2023-11-28,520.0197981737294,935.2808802522187,440.56025421035525,635.7659363039425
2023-11-29,519.6539992211708,934.4890673511426,440.18727396415255,635.3929560577398
2023-11-30,521.700099162258,921.137038970499,433.8978553073594,629.1035374009466
2023-12-01,524.7864421298065,920.7216179019426,433.70217290281994,628.9078549964072
2023-12-04,522.0315841669094,907.1484943526666,427.308608266189,622.5142903597762
2023-12-05,521.9287505690803,915.2682355846912,431.13337934494604,626.3390614385332
2023-12-06,519.8255328787427,902.155965442339,424.95689783103796,620.1625799246251
2023-12-07,523.7919871158522,918.4166028545656,432.6164049408391,627.8220870344263
2023-12-08,526.0438624984902,933.3977580408575,439.6732171526505,634.8788992462378
2023-12-11,528.0899263576132,921.3563865534069,434.0011780940503,629.2068601876375
2023-12-12,530.501825251259,937.5830317198528,441.6446732947464,636.8503553883336
2023-12-13,537.8175517286824,943.0261565708084,444.2086351148459,639.4143172084331
2023-12-14,539.5435324838256,949.384619748081,447.20376333024467,642.4094454238318
2023-12-15,538.6552666903665,954.9422910586277,449.82168179419506,645.8668479379983
2023-12-18,541.6851774659835,970.1591565712097,456.9895243964089,652.195206489996
2023-12-19,544.9790638913262,977.391073852547,460.396089614587,655.6017717081743
2023-12-20,537.427144876573,967.756517328077,455.85777095412226,651.0634530477095
2023-12-21,542.5230728374884,978.4034516455711,460.8729660559522,656.0786481495394
2023-12-22,543.6133615482266,978.7913422226468,461.0556803344652,656.2613624280524
